Year,Therapeutic Name,Eventual Brand Name,NDC Code,"Active Pharmaceutical Ingredient","Gene Delivery System",Targeting Strategy,Delivery Method,NCT ID,Study URL,Study Type,Phase,Trial Status,clinical trial purpose,Therapeutic Purpose,Disease Studied by Clinical Trial,DIsease Targeted by Intervention,Disease Type ,Reason for Termination,Clinical Trial Start Date,Clinical Trial End Date,"Clinical Trial Duration
(Months)",Clinical Trial Size,Enrolled type,Row in the US Polulation sheet that corresponds to the year,Column in the US Population sheet that correspoinds to the age group,Address in the US Population sheet that corresponds to the year and age group,Sex,Age,,Target Population Size,Estimated Disease Prevalence,Estimated Population Affected by Disease,Target Population Indicator,Uptake Propensity,Estimated Potential Impact,Population Multiplier using Age/Sex,Population Impacted,Entity,Entity Type,Entity Employee Count,Entity Size,Entity Research Status,Sponsor,Sponsor Type,Sponsor Class,Collaborators,Manufacturer,Treatment Cost
2022,BG505 MD39.3 gp151 mRNA,N/A,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05217641,https://clinicaltrials.gov/study/NCT05217641,Interventional,Phase 1,Active Not Recruiting,PREVENTION,PREVENTION,HIV,HIV,Infectious,N/A,2/11/22,7/17/23,17.4,108,ACTUAL,9,4,'1a.1. US Population'!$D$9,ALL,ADULT,HIV,"201,452,958",1.21%,"2,440,835",Common,83.65%,"168,513,018",0.62527118,0,National Institute of Allergy and Infectious Diseases (NIAID),NIH,non-industry,Non-Industry,TRUE,National Institute of Allergy and Infectious Diseases (NIAID),SPONSOR,NIH,"""National Institutes of Health (NIH)"", ""Department of Health and Human Services""","ModernaTX, Inc.",N/A
2022,BG505 MD39.3 mRNA,N/A,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05217641,https://clinicaltrials.gov/study/NCT05217641,Interventional,Phase 1,Active Not Recruiting,PREVENTION,PREVENTION,HIV,HIV,Infectious,N/A,2/11/22,7/17/23,17.4,108,ACTUAL,9,4,'1a.1. US Population'!$D$9,ALL,ADULT,HIV,"201,452,958",1.21%,"2,440,835",Common,83.65%,"168,513,018",0.62527118,0,National Institute of Allergy and Infectious Diseases (NIAID),NIH,non-industry,Non-Industry,TRUE,National Institute of Allergy and Infectious Diseases (NIAID),SPONSOR,NIH,"""National Institutes of Health (NIH)"", ""Department of Health and Human Services""","ModernaTX, Inc.",N/A
2017,BI 1361849 (formerly CV9202),N/A,N/A,messenger RNA,Other,Active,in-vivo,NCT03164772,https://clinicaltrials.gov/study/NCT03164772,Interventional,Phase 2,Completed,TREATMENT,TREATMENT,"Metastatic Non-small Cell Lung Cancer, NSCLC",Lung Cancer,Cancer,N/A,12/20/17,10/29/21,47,61,ACTUAL,14,7,'1a.1. US Population'!$G$14,ALL,"ADULT, OLDER_ADULT",Lung Cancer,"250,825,102",0.20%,"489,534",Common,100.00%,"489,534",0.77283439,0,Ludwig Institute for Cancer Research,OTHER,non-industry,Non-Industry,FALSE,Ludwig Institute for Cancer Research,SPONSOR,OTHER,"""Cancer Research Institute (CRI)"", ""Boehringer Ingelheim"", ""MedImmune LLC"", ""CureVac"", ""PharmaJet, Inc.""",CureVac and Boehringer Ingelheim.,N/A
2020,biological: mrna-1273,Spikevax,80777-110,messenger RNA,LNP,Untargeted,in-vivo,NCT04405076,https://clinicaltrials.gov/study/NCT04405076,Interventional,Phase 2,Completed,PREVENTION,PREVENTION,SARS-CoV-2,COVID-19,Infectious,N/A,5/29/20,10/28/21,17.2,660,ACTUAL,11,7,'1a.1. US Population'!$G$11,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",1.44%,"3,584,405",Common,67.69%,"168,658,393",0.773329128,"856,186","ModernaTX, Inc.",INDUSTRY,"5,600",Small Pharma,TRUE,"ModernaTX, Inc.",SPONSOR,INDUSTRY,"""Biomedical Advanced Research and Development Authority""","ModernaTX, Inc.",$141.80 
2021,biological/vaccine: bnt162b2 10mcg,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT04816643,https://clinicaltrials.gov/study/NCT04816643,Interventional,Phase 3,Completed,PREVENTION,PREVENTION,"SARS-CoV-2 Infection, COVID-19",COVID-19,Infectious,N/A,3/24/21,10/4/23,30.8,11837,ACTUAL,10,3,'1a.1. US Population'!$C$10,ALL,CHILD,COVID-19,"73,029,941",1.38%,"1,007,191",Common,41.95%,"30,636,060",0.226670872,"66,695,800",BioNTech SE,INDUSTRY,"6,133",Small Pharma,TRUE,BioNTech SE,SPONSOR,INDUSTRY,"""Pfizer""",BioNTech SE,$136.75 
2021,biological/vaccine: bnt162b2 3mcg,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT04816643,https://clinicaltrials.gov/study/NCT04816643,Interventional,Phase 3,Completed,PREVENTION,PREVENTION,"SARS-CoV-2 Infection, COVID-19",COVID-19,Infectious,N/A,3/24/21,10/4/23,30.8,11837,ACTUAL,10,3,'1a.1. US Population'!$C$10,ALL,CHILD,COVID-19,"73,029,941",1.38%,"1,007,191",Common,41.95%,"30,636,060",0.226670872,"66,695,800",BioNTech SE,INDUSTRY,"6,133",Small Pharma,TRUE,BioNTech SE,SPONSOR,INDUSTRY,"""Pfizer""",BioNTech SE,$136.75 
2023,bivalent bnt162b2 (original/omi ba.4/ba.5),Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05886777,https://clinicaltrials.gov/study/NCT05886777,Interventional,Phase 2,Completed,PREVENTION,PREVENTION,Healthy Participants,COVID-19,Infectious,N/A,6/5/23,1/1/24,7,1084,ACTUAL,8,5,'1a.1. US Population'!$E$8,ALL,OLDER_ADULT,COVID-19,"47,702,041",2.61%,"1,245,103",Common,83.19%,"39,682,064",0.148057948,"922,960",Pfizer,INDUSTRY,"88,000",Big Pharma,TRUE,Pfizer,SPONSOR,INDUSTRY,N/A,BioNTech SE,$136.75 
2022,bivalent bnt162b2 mrna original/omicron ba.4-5 vaccine,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05970887,https://clinicaltrials.gov/study/NCT05970887,Interventional,Phase 4,Completed,BASIC_SCIENCE,PREVENTION,"Immune Response, Safety",COVID-19,Infectious,N/A,10/12/22,12/15/22,2.1,154,ACTUAL,9,7,'1a.1. US Population'!$G$9,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,83.65%,"208,415,212",0.773329128,"76,235,826",Catholic Kwandong University,OTHER,non-industry,Non-Industry,FALSE,Catholic Kwandong University,PRINCIPAL_INVESTIGATOR,OTHER,"""Korea University Guro Hospital""",BioNTech SE,$136.75 
2019,bnt112,N/A,N/A,messenger RNA,LNP,Active,in-vivo,NCT04382898,https://clinicaltrials.gov/study/NCT04382898,Interventional,Phase 2,Terminated,TREATMENT,TREATMENT,Prostate Cancer,Prostate Cancer,Cancer,Sponsor decision,12/19/19,1/23/24,49.9,75,ACTUAL,12,13,'1a.1. US Population'!$M$12,MALE,"ADULT, OLDER_ADULT",Prostate Cancer,"123,962,067",2.60%,"3,222,690",Common,100.00%,"3,222,690",0.384754379,0,BioNTech SE,INDUSTRY,"6,133",Small Pharma,TRUE,BioNTech SE,SPONSOR,INDUSTRY,N/A,BioNTech SE,N/A
2021,bnt113,N/A,N/A,messenger RNA,LNP,Active,in-vivo,NCT04534205,https://clinicaltrials.gov/study/NCT04534205,Interventional,Phase 2,Recruiting,TREATMENT,TREATMENT,"Unresectable Head and Neck Squamous Cell Carcinoma, Metastatic Head and Neck Cancer, Recurrent Head and Neck Cancer",Head and Neck Cancer,Cancer,N/A,1/7/21,5/1/28,89,285,ESTIMATED,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",Head and Neck Cancer,"249,154,999",0.22%,"541,218",Common,100.00%,"541,218",0.773329128,0,BioNTech SE,INDUSTRY,"6,133",Small Pharma,TRUE,BioNTech SE,SPONSOR,INDUSTRY,N/A,BioNTech SE,N/A
2022,bnt141,N/A,N/A,messenger RNA,LNP,Active,in-vivo,NCT04683939,https://clinicaltrials.gov/study/NCT04683939,Interventional,Phase 2,Terminated,TREATMENT,TREATMENT,"Solid Tumor, Gastric Cancer, Gastroesophageal Junction Adenocarcinoma, Esophageal Adenocarcinoma, Pancreatic Cancer, Biliary Tract Cancer, Cholangiocarcinoma, Metastatic Cancer",Cancer,Cancer,Sponsor decision,1/18/22,7/24/23,18.4,13,ACTUAL,9,7,'1a.1. US Population'!$G$9,ALL,"ADULT, OLDER_ADULT",Cancer,"249,154,999",6.87%,"17,125,887",Common,100.00%,"17,125,887",0.773329128,0,BioNTech SE,INDUSTRY,"6,133",Small Pharma,TRUE,BioNTech SE,SPONSOR,INDUSTRY,N/A,BioNTech SE,N/A
2022,bnt162b2 (b.1.1.529),Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05289037,https://clinicaltrials.gov/study/NCT05289037,Interventional,Phase 2,Completed,PREVENTION,PREVENTION,COVID-19,COVID-19,Infectious,N/A,3/30/22,11/22/23,20.1,1270,ACTUAL,9,7,'1a.1. US Population'!$G$9,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,83.65%,"208,415,212",0.773329128,"76,235,826",National Institute of Allergy and Infectious Diseases (NIAID),NIH,non-industry,Non-Industry,TRUE,National Institute of Allergy and Infectious Diseases (NIAID),SPONSOR,NIH,N/A,BioNTech SE,$136.75 
2022,bnt162b2 (b.1.351),Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05289037,https://clinicaltrials.gov/study/NCT05289037,Interventional,Phase 2,Completed,PREVENTION,PREVENTION,COVID-19,COVID-19,Infectious,N/A,3/30/22,11/22/23,20.1,1270,ACTUAL,9,7,'1a.1. US Population'!$G$9,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,83.65%,"208,415,212",0.773329128,"76,235,826",National Institute of Allergy and Infectious Diseases (NIAID),NIH,non-industry,Non-Industry,TRUE,National Institute of Allergy and Infectious Diseases (NIAID),SPONSOR,NIH,N/A,BioNTech SE,$136.75 
2024,bnt162b2 (omi xbb.1.5),Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT06237049,https://clinicaltrials.gov/study/NCT06237049,Interventional,Phase 2,Completed,PREVENTION,PREVENTION,"Influenza, Human, SARS-CoV-2 Infection, COVID-19",COVID-19,Infectious,N/A,1/31/24,9/13/24,7.5,645,ACTUAL,7,7,'1a.1. US Population'!$G$7,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,79.15%,"197,213,032",0.773329128,"4,820,761",Pfizer,INDUSTRY,"88,000",Big Pharma,TRUE,Pfizer,SPONSOR,INDUSTRY,N/A,BioNTech SE,$136.75 
2024,bnt162b2 (omi xbb.1.5)/riv,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT06237049,https://clinicaltrials.gov/study/NCT06237049,Interventional,Phase 2,Completed,PREVENTION,PREVENTION,"Influenza, Human, SARS-CoV-2 Infection, COVID-19",COVID-19,Infectious,N/A,1/31/24,9/13/24,7.5,645,ACTUAL,7,7,'1a.1. US Population'!$G$7,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,79.15%,"197,213,032",0.773329128,"4,820,761",Pfizer,INDUSTRY,"88,000",Big Pharma,TRUE,Pfizer,SPONSOR,INDUSTRY,N/A,BioNTech SE,$136.75 
2021,bnt162b2 20mcg,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT04816643,https://clinicaltrials.gov/study/NCT04816643,Interventional,Phase 3,Completed,PREVENTION,PREVENTION,"SARS-CoV-2 Infection, COVID-19",COVID-19,Infectious,N/A,3/24/21,10/4/23,30.8,11837,ACTUAL,10,3,'1a.1. US Population'!$C$10,ALL,CHILD,COVID-19,"73,029,941",1.38%,"1,007,191",Common,41.95%,"30,636,060",0.226670872,"66,695,800",BioNTech SE,INDUSTRY,"6,133",Small Pharma,TRUE,BioNTech SE,SPONSOR,INDUSTRY,"""Pfizer""",BioNTech SE,$136.75 
2021,bnt162b2 30mcg,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT04816643,https://clinicaltrials.gov/study/NCT04816643,Interventional,Phase 3,Completed,PREVENTION,PREVENTION,"SARS-CoV-2 Infection, COVID-19",COVID-19,Infectious,N/A,3/24/21,10/4/23,30.8,11837,ACTUAL,10,3,'1a.1. US Population'!$C$10,ALL,CHILD,COVID-19,"73,029,941",1.38%,"1,007,191",Common,41.95%,"30,636,060",0.226670872,"66,695,800",BioNTech SE,INDUSTRY,"6,133",Small Pharma,TRUE,BioNTech SE,SPONSOR,INDUSTRY,"""Pfizer""",BioNTech SE,$136.75 
2021,bnt162b2 ba.4/5 bivalent,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT04848584,https://clinicaltrials.gov/study/NCT04848584,Observational,Observational,Recruiting,,PREVENTION,COVID-19,COVID-19,Infectious,N/A,5/15/21,6/15/25,49.7,999,ESTIMATED,10,8,'1a.1. US Population'!$H$10,ALL,"CHILD, ADULT, OLDER_ADULT",COVID-19,"322,184,940",1.38%,"4,443,405",Common,41.95%,"135,156,583",1,"294,240,716",Pfizer,INDUSTRY,"88,000",Big Pharma,TRUE,Pfizer,SPONSOR,INDUSTRY,N/A,BioNTech SE,$136.75 
2022,bnt162b2 bivalent (wildtype and omicron ba.1),Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05289037,https://clinicaltrials.gov/study/NCT05289037,Interventional,Phase 2,Completed,PREVENTION,PREVENTION,COVID-19,COVID-19,Infectious,N/A,3/30/22,11/22/23,20.1,1270,ACTUAL,9,7,'1a.1. US Population'!$G$9,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,83.65%,"208,415,212",0.773329128,"76,235,826",National Institute of Allergy and Infectious Diseases (NIAID),NIH,non-industry,Non-Industry,TRUE,National Institute of Allergy and Infectious Diseases (NIAID),SPONSOR,NIH,N/A,BioNTech SE,$136.75 
2022,bnt162b2 bivalent (wildtype and omicron ba.4/ba.5),Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05289037,https://clinicaltrials.gov/study/NCT05289037,Interventional,Phase 2,Completed,PREVENTION,PREVENTION,COVID-19,COVID-19,Infectious,N/A,3/30/22,11/22/23,20.1,1270,ACTUAL,9,7,'1a.1. US Population'!$G$9,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,83.65%,"208,415,212",0.773329128,"76,235,826",National Institute of Allergy and Infectious Diseases (NIAID),NIH,non-industry,Non-Industry,TRUE,National Institute of Allergy and Infectious Diseases (NIAID),SPONSOR,NIH,N/A,BioNTech SE,$136.75 
2021,bnt162b2 vaccine,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05016622,https://clinicaltrials.gov/study/NCT05016622,Interventional,Phase 2,Terminated,PREVENTION,PREVENTION,Cancer,COVID-19,Infectious,"Due to decreased level of engagement and available funding, PI determined it appropriate to close the study prior to visit occurring. IRB approved.",8/10/21,4/20/22,8.4,106,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"227,544,916",Montefiore Medical Center,OTHER,non-industry,Non-Industry,FALSE,Montefiore Medical Center,SPONSOR,OTHER,"""Albert Einstein College of Medicine"", ""National Cancer Institute (NCI)"", ""The Leukemia and Lymphoma Society""",BioNTech SE,$136.75 
2024,ch505 tf mrna-gp160,N/A,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT06557785,https://clinicaltrials.gov/study/NCT06557785,Interventional,Phase 1,Not Yet Recruiting,PREVENTION,PREVENTION,HIV Infections,HIV,Infectious,N/A,11/7/24,1/3/26,14.1,48,ESTIMATED,7,4,'1a.1. US Population'!$D$7,ALL,ADULT,HIV,"201,452,958",1.21%,"2,440,835",Common,79.15%,"159,455,555",0.62527118,0,National Institute of Allergy and Infectious Diseases (NIAID),NIH,non-industry,Non-Industry,TRUE,National Institute of Allergy and Infectious Diseases (NIAID),SPONSOR,NIH,"""National Institutes of Health (NIH)"", ""Department of Health and Human Services""",Duke CHAVD,N/A
2024,ch505m5 n197d mrna-gp160,N/A,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT06557785,https://clinicaltrials.gov/study/NCT06557785,Interventional,Phase 1,Not Yet Recruiting,PREVENTION,PREVENTION,HIV Infections,HIV,Infectious,N/A,11/7/24,1/3/26,14.1,48,ESTIMATED,7,4,'1a.1. US Population'!$D$7,ALL,ADULT,HIV,"201,452,958",1.21%,"2,440,835",Common,79.15%,"159,455,555",0.62527118,0,National Institute of Allergy and Infectious Diseases (NIAID),NIH,non-industry,Non-Industry,TRUE,National Institute of Allergy and Infectious Diseases (NIAID),SPONSOR,NIH,"""National Institutes of Health (NIH)"", ""Department of Health and Human Services""",Duke CHAVD,N/A
2024,cominarty,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT06587503,https://clinicaltrials.gov/study/NCT06587503,Interventional,Phase 4,Not Yet Recruiting,PREVENTION,PREVENTION,"Ebola Virus Disease, COVID-19",COVID-19,Infectious,N/A,10/1/24,12/1/24,2,72,ESTIMATED,7,4,'1a.1. US Population'!$D$7,ALL,ADULT,COVID-19,"201,452,958",2.61%,"5,258,259",Common,79.15%,"159,455,555",0.62527118,"3,897,801",University of Birmingham,OTHER,non-industry,Non-Industry,FALSE,University of Birmingham,SPONSOR,OTHER,"""Project San Francisco"", ""Rwanda Biomedical Centre"", ""Merck Sharp & Dohme LLC""",BioNTech SE,$136.75 
2021,comirnaty,Comirnaty,0069-2432,messenger RNA,LNP,Untargeted,in-vivo,NCT04780659,https://clinicaltrials.gov/study/NCT04780659,Interventional,Phase 4,Active Not Recruiting,PREVENTION,PREVENTION,Covid19,COVID-19,Infectious,N/A,2/23/21,3/31/24,37.7,540,ESTIMATED,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"227,544,916",Karolinska University Hospital,OTHER,non-industry,Non-Industry,FALSE,Karolinska University Hospital,PRINCIPAL_INVESTIGATOR,OTHER,"""Karolinska Institutet""",BioNTech SE,$136.75 
2021,comirnaty,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05057169,https://clinicaltrials.gov/study/NCT05057169,Interventional,Phase 4,Active Not Recruiting,PREVENTION,PREVENTION,COVID-19 Vaccination,COVID-19,Infectious,N/A,11/18/21,12/31/24,38,400,ESTIMATED,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"227,544,916",The University of Hong Kong,OTHER,non-industry,Non-Industry,FALSE,The University of Hong Kong,SPONSOR,OTHER,N/A,BioNTech SE,$136.75 
2021,comirnaty,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05057182,https://clinicaltrials.gov/study/NCT05057182,Interventional,Phase 4,Active Not Recruiting,PREVENTION,PREVENTION,COVID 19 Vaccine,COVID-19,Infectious,N/A,10/18/21,3/31/24,29.8,300,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"227,544,916",The University of Hong Kong,OTHER,non-industry,Non-Industry,FALSE,The University of Hong Kong,SPONSOR,OTHER,N/A,BioNTech SE,$136.75 
